date,AAPL,GE,AMD,WMT,BAC,T,XOM,RRC,BBY,PFE,JPM
16/01/2008,15.438476,23.785917,6.57,37.010723,33.196461,21.67857,64.845528,48.712067,35.366978,15.347631,32.52211
17/01/2008,15.559364,22.856779,6.34,37.00293,31.669218,21.352283,62.882118,46.154888,34.463947,15.059049,31.430958
18/01/2008,15.604819,23.613853,7.07,37.080856,30.862675,20.671066,63.758888,47.065388,34.746635,14.757339,31.077724
22/01/2008,15.051647,23.434904,6.83,38.343395,32.081047,20.585197,61.787991,45.447792,35.57114,14.580252,32.074657
23/01/2008,13.449194,23.80657,7.56,39.091549,34.809521,21.003084,62.537376,44.80851,36.788242,14.993459,35.889702
24/01/2008,13.113613,23.847864,7.58,38.117382,34.234661,20.464987,64.448364,47.075081,36.906021,15.118078,35.29311
25/01/2008,12.573018,23.400496,7.15,37.478329,33.874298,20.184486,62.904621,46.445484,35.555416,14.829489,34.256927
28/01/2008,12.573018,23.896038,7.46,37.961506,35.35009,20.837078,63.796379,47.452843,37.738373,15.078721,35.771946
29/01/2008,12.720983,23.923567,7.61,38.195316,35.985012,21.690025,63.758888,47.08477,38.437244,15.20334,37.247726
30/01/2008,12.782872,24.047455,7.61,38.312214,36.21666,21.380901,63.908768,50.46526,37.125896,15.150865,37.169235
31/01/2008,13.090408,24.336521,7.59,39.543564,37.88121,22.033489,64.223534,50.581501,38.264484,15.321396,37.208492
01/02/2008,12.934709,24.887123,8,39.886478,38.636265,21.91328,64.410866,51.404831,38.060322,15.47225,37.875721
04/02/2008,12.73162,24.343395,7.92,39.021408,37.778248,21.844585,64.028702,52.915882,38.052479,15.498488,36.282196
05/02/2008,12.510158,23.545036,7.21,38.623947,36.353943,21.02599,61.533195,51.269218,36.254292,15.059049,34.453171
06/02/2008,11.798387,23.538147,6.74,38.055042,36.319622,20.837078,61.031113,51.811657,36.340652,15.025788,34.319717
07/02/2008,11.724886,23.5588,6.59,38.842171,37.211964,21.180544,61.633213,53.874805,37.078781,15.079002,35.410858
08/02/2008,12.134929,23.290377,6.34,38.000477,36.173771,20.819901,61.497696,55.08559,36.670464,14.832897,34.39822
11/02/2008,12.518862,23.407379,6.28,38.655125,36.156609,21.106127,62.634205,57.739609,37.19656,14.766379,34.029278
12/02/2008,12.07497,23.655155,6.41,39.161686,36.740051,21.472485,63.507236,56.761314,36.827507,15.085653,33.997871
13/02/2008,12.514024,24.07498,6.7,39.48122,37.177631,22.136528,64.342682,57.691177,36.576237,15.125558,34.618027
14/02/2008,12.326411,23.668922,6.53,38.943481,36.242413,21.6614,64.387848,57.361858,35.940197,14.932673,33.44838
15/02/2008,12.052728,23.655155,6.45,38.53043,36.637093,21.684299,64.252373,55.792683,35.037174,14.852847,33.950783
19/02/2008,11.815793,23.593212,6.5,38.701881,36.611351,20.545126,65.486687,58.64045,34.55817,14.879457,33.621075
20/02/2008,11.974393,23.648268,6.83,38.733051,36.868748,19.669281,66.307045,62.098431,34.990055,14.94597,33.87228
21/02/2008,11.753901,23.398239,6.96,38.803192,36.21666,19.732252,65.418945,59.521881,34.354023,14.899411,33.809498
22/02/2008,11.552746,23.301004,6.71,38.943481,36.551281,20.024199,65.607101,60.752052,34.723076,14.965924,34.484573
25/02/2008,11.579824,23.759392,6.97,39.224052,36.843002,20.321877,67.082268,62.679581,35.445488,15.152161,34.563068
26/02/2008,11.522768,23.571869,7.13,40.057938,36.654259,20.361944,67.654266,63.115498,36.51342,15.18543,34.319717
27/02/2008,11.891223,23.627434,7.28,40.081326,36.791538,20.150141,67.277962,59.928696,36.576237,15.132212,34.861382
28/02/2008,12.563346,23.509373,7.02,39.512394,35.538841,20.585197,67.270432,61.991871,35.194214,14.999185,33.314938
29/02/2008,12.090444,23.016262,7.21,38.647324,34.097389,19.938337,65.486687,59.260361,33.77293,14.819592,31.909817
03/03/2008,11.772271,23.196833,6.76,38.881126,33.61689,20.070002,66.04364,60.839214,33.984955,14.799639,31.258263
04/03/2008,12.051763,23.280174,6.76,38.865543,33.273685,19.961233,65.245865,58.252991,33.451004,14.792986,30.76372
05/03/2008,12.039188,23.384356,6.84,38.616161,32.758957,20.293255,65.622169,59.231304,33.608032,14.666609,30.410475
06/03/2008,11.694907,22.821793,6.49,38.951263,31.860386,20.047098,63.605114,58.098011,32.068985,14.360641,29.335037
07/03/2008,11.822563,22.384253,6.49,38.888927,32.052322,20.041374,62.084797,56.712875,31.307304,14.200998,29.484196
10/03/2008,11.57499,22.016157,6.16,38.070629,30.804777,19.835289,62.062187,55.434307,31.220936,14.067969,28.636408
11/03/2008,12.315773,23.196833,6.48,39.161686,32.907272,20.659618,65.238312,59.366909,32.493027,14.447109,30.488964
12/03/2008,12.188118,23.585766,6.43,39.378983,32.305309,20.218836,64.703964,58.398281,31.684229,14.154436,30.308441
13/03/2008,12.372832,23.787176,6.73,39.621716,32.401272,20.321877,65.516777,61.364239,31.888374,14.107879,29.915936
14/03/2008,12.244212,23.488525,6.38,39.010963,31.136284,20.052826,64.658798,60.608204,31.417236,13.728745,28.683508
17/03/2008,12.255816,23.842733,6.34,39.112747,31.371841,20.487886,64.568459,57.962112,30.9618,13.68218,31.642906
18/03/2008,12.844766,25.099812,6.39,39.919266,33.962883,21.220619,66.585518,60.666359,32.281006,13.968193,33.52689
19/03/2008,12.540138,24.717825,6.15,39.762653,33.640095,20.636721,63.544891,56.837761,31.778446,13.708787,33.338486
20/03/2008,12.888286,26.037407,6.11,41.681122,36.519047,21.094673,63.973877,57.351479,33.301807,13.69548,36.085957
24/03/2008,13.493679,25.974895,6.21,41.994324,37.033768,21.770163,64.688873,59.386929,33.977104,13.708787,36.541252
25/03/2008,13.633903,25.884615,6.3,41.540176,35.742607,21.752995,64.124413,60.33683,33.600189,13.821862,36.156612
26/03/2008,14.028475,25.78738,6.22,41.422714,34.756783,21.615599,64.922203,62.333511,33.199718,13.761999,34.62587
27/03/2008,13.563308,25.579021,6.16,41.007706,33.709881,21.558359,64.87706,60.51128,33.191868,13.675527,33.644627
28/03/2008,13.830223,25.426229,5.91,40.811943,33.21262,21.558359,64.13945,60.656693,31.849117,13.635618,33.52689
31/03/2008,13.877611,25.704039,5.89,41.250458,33.073032,21.924726,63.65781,61.499931,32.55584,13.921633,33.715279
01/04/2008,14.460756,26.690252,6.07,42.34671,35.646629,22.600216,65.494225,62.333511,34.134151,14.220949,36.894489
02/04/2008,14.263474,26.405491,6.19,42.644253,35.158104,22.165154,66.623169,63.477226,34.503212,14.307424,36.593761
03/04/2008,14.661911,26.280485,6.26,43.012291,35.219166,22.331161,66.404915,63.729282,33.396027,14.194346,36.625416
04/04/2008,14.804071,26.086027,6.23,42.597275,34.381653,22.027767,66.788727,64.931145,33.678719,14.200998,36.063526
07/04/2008,15.075824,25.877661,6.34,42.464161,34.460155,22.331161,66.924217,65.425446,33.396027,14.287472,36.039795
08/04/2008,14.780865,25.662359,6.03,42.636414,33.483074,22.441053,67.44355,66.588554,33.129044,13.968193,35.501644
09/04/2008,14.64547,25.308157,6.26,42.393677,33.090469,22.088245,67.511276,64.262367,32.406628,13.895028,35.058472
10/04/2008,14.946234,25.523455,6.27,42.80085,32.881107,22.09403,67.398369,65.250999,33.050526,13.914987,34.710251
11/04/2008,14.229627,22.259241,6.01,42.91048,32.226791,21.57349,66.698441,64.233276,32.335968,13.602365,33.657715
14/04/2008,14.291521,22.050884,5.86,43.184551,31.040314,21.515652,67.511276,64.795433,32.21817,13.675527,32.842583
15/04/2008,14.349547,22.210621,5.78,44.061554,31.040314,21.590843,68.339195,66.94722,32.791393,13.7753,33.333229
16/04/2008,14.864031,22.384253,6.07,44.687969,32.261684,21.752785,69.91217,68.168472,33.600189,14.034714,35.580784
17/04/2008,14.94043,22.238401,6.19,44.374763,32.689175,21.72965,70.280945,67.228279,33.364624,13.569104,35.707413
18/04/2008,15.573868,22.703726,6.11,44.09288,33.640095,21.694941,70.747589,69.399452,34.416828,13.615663,36.21389
21/04/2008,16.262432,22.543989,6.14,44.14769,32.811317,21.741219,70.943275,70.107018,34.47197,13.436074,35.794464
22/04/2008,15.492631,22.453705,5.96,44.280796,32.279137,21.868462,71.041115,69.787155,33.369366,13.163363,36.126846
23/04/2008,15.752779,22.474541,5.92,44.570526,32.157013,22.284895,70.913193,68.38176,34.267197,13.223227,35.731155
24/04/2008,16.337864,22.787069,6.03,44.985535,33.038139,22.354303,69.693909,64.204185,34.613724,13.329652,37.171482
25/04/2008,16.414259,23.148224,6.06,45.142155,33.41328,22.313814,69.588562,67.257362,35.511547,13.589058,37.820412
28/04/2008,16.657001,23.03709,6,44.907219,33.308575,22.151865,69.581017,66.317169,35.692711,13.456033,37.464291
29/04/2008,16.928749,22.794016,6.02,45.893867,33.029408,22.319592,69.084282,63.42878,34.952385,13.462682,37.25853
30/04/2008,16.822371,22.710676,5.96,45.400543,32.75024,22.389004,70.047653,64.339882,33.881294,13.376209,37.709618
01/05/2008,17.407457,23.002369,6.22,45.471027,34.364193,23.100407,67.511276,63.9231,35.283165,13.595711,38.975845
02/05/2008,17.498358,23.155163,6.16,45.024685,34.713158,23.210297,67.44355,65.512688,35.37767,13.708787,38.508911
05/05/2008,17.864883,23.044044,6.53,44.60968,33.997791,23.048357,67.368256,67.46093,34.542843,13.648922,37.986607
06/05/2008,18.051525,22.919025,7.12,44.124191,34.233345,22.880632,67.789726,68.895432,34.999634,13.582406,38.144878
07/05/2008,17.657928,22.620384,6.91,44.50005,33.151546,22.452623,66.848976,67.363998,34.219948,13.460777,36.854931
08/05/2008,17.896795,22.634274,6.93,44.758457,32.567032,22.475756,67.684372,68.556206,33.117344,13.494559,36.443398
